,type,geometry.type,geometry.coordinates,properties.Name,properties.Category,properties.ImageURL,properties.Address,properties.Notes,properties.AKA
393,Feature,Point,"[-77.0067304, 42.87660436]",Sturtevant Hall,State,http://images.localist.com/images/main/business_huge.png?1340747100,,,
394,Feature,Point,"[-76.4836316, 42.44488678]",Sundial on Engineering Quad,Areas and Features,http://images.localist.com/photo/000/016/684/huge/iLF_UT0hMV7iX4VO.jpg?1298883853,,,
395,Feature,Point,"[-76.47019023, 42.44599652]",Surge 3 Facility,East Campus,http://images.localist.com/images/main/business_huge.png?1340747100,,,
396,Feature,Point,"[-76.45299, 42.426769]",Swanson Wildlife Health Center,Near Campus,,"131 Swanson Dr, Ithaca, NY 14850",,
397,Feature,Point,"[-76.46362105, 42.44793056]",T Barn,East Campus,http://images.localist.com/images/main/business_huge.png?1340747100,,,
398,Feature,Point,"[-76.59849152, 42.54650966]",Taughannock Falls State Park,Community,http://images.localist.com/photo/000/016/645/huge/2wz38Sb2lM_xyl5f.jpg?1298663073,,,
399,Feature,Point,"[-76.479075, 42.445773]",Teagle Hall,Athletics,http://images.localist.com/images/main/business_huge.png?1340747100,"512 Campus Rd, Ithaca, NY 14850",Fitness; Swimming; Diving,
400,Feature,Point,"[-73.949964, 40.762161]",Technion-Cornell Innovation Institute,NYC,,,http://www.cornell.edu/nyc/,
401,Feature,Point,"[-76.48709308, 42.44579775]",Telluride House,Co-ops,http://images.localist.com/images/main/business_huge.png?1340747100,,,
402,Feature,Point,"[-76.484202, 42.446744]",The Cornell Store,Central Campus,http://images.localist.com/photo/000/016/539/huge/t_JOpoL36QG7QDbG.jpg?1298662563,"135 Ho Plz, Ithaca, NY 14850",Books; Banking; Clothing; Shopping; Ho Plaza; Post Office; USPS; Campus Store,
403,Feature,Point,"[-76.487701, 42.450069]",Theta Delta Chi,Greek,,"800 University Avenue, Ithaca, NY 14850",Greek: IFC,
404,Feature,Point,"[-76.48366, 42.443913]",Thurston Hall,Engineering,http://images.localist.com/photo/000/016/847/huge/A2ITaZLXtZyYwqBV.jpg?1299168035,"130 Hollister Dr, Ithaca, NY 14850",,
405,Feature,Point,"[-76.480988, 42.456515]",Tobin Fieldhouse,North Campus,http://images.localist.com/photo/000/018/816/huge/2ONYuJeTCLBvKwBQ.jpg?1308651561,"108 Jessup Rd, Ithaca, NY 14850",,
406,Feature,Point,"[-76.478606, 42.45122]",Toboggan Lodge,Central Campus,http://images.localist.com/images/main/business_huge.png?1340747100,"38 Forest Home Dr, Ithaca, NY 14850",,
407,Feature,Point,"[-76.50349812, 42.45059877]",Tompkins Co. Cooperative Extension,Community,http://images.localist.com/images/main/business_huge.png?1340747100,,"4-H; 615 Willow Ave., Ithaca",
408,Feature,Point,"[-76.4622699, 42.48984167]",Tompkins County Airport,Community,http://images.localist.com/images/main/business_huge.png?1340747100,,,
409,Feature,Point,"[-76.49836601, 42.43838655]",Tompkins County Public Library,Community,http://images.localist.com/images/main/business_huge.png?1340747100,,,
410,Feature,Point,"[-76.47914474, 42.44789571]",Trillium Dining,Ag,,,Dining (www.campuslife.cornell.edu/campuslife/dining/trillium.cfm); Cafe (www.campuslife.cornell.edu/campuslife/dining/trillium-express.cfm),
411,Feature,Point,"[-76.481532, 42.455993]",Triphammer Road Cooperative,Co-ops,,"150 Triphammer Rd, Ithaca, NY 14850",Housing; Triphammer Cooperative,
412,Feature,Point,"[-76.48430181, 42.44300911]",Trolley Foot Bridge,Areas and Features,http://images.localist.com/photo/000/016/647/huge/WaDgkemcDkoWJ3cs.jpg?1298663095,,,
413,Feature,Point,"[-76.46083958, 42.4596381]",Turfgrass Field Research Lab,Near Campus,http://images.localist.com/images/main/business_huge.png?1340747100,,,
414,Feature,Point,"[-76.47672298, 42.45534043]",Ujamaa Residential College,North Campus,http://images.localist.com/photo/000/016/648/huge/WIJZ0wdRZQWZdB_8.jpg?1298663100,,Housing,
415,Feature,Point,"[-76.48433889, 42.45391944]",Undergraduate Admissions Office,North Campus,http://images.localist.com/photo/000/018/821/huge/cD5ceBMr80149BQz.jpg?1308651865,,410 Thurston Ave.,
416,Feature,Point,"[-76.482455, 42.443972]",Upson Hall,Engineering,http://images.localist.com/photo/000/016/649/huge/20MbPdQsRcge7RJU.jpg?1298663104,"124 Hoy Rd, Ithaca, NY 14850",,
417,Feature,Point,"[-76.482197, 42.447205]",Uris Hall,Central Campus,http://images.localist.com/photo/000/016/650/huge/Eb3KVy67FbJjDRso.jpg?1298663108,"109 Tower Rd, Ithaca, NY 14850",Cafe (www.campuslife.cornell.edu/campuslife/dining/rustys.cfm); Cornell Cinema; movie; movies,
418,Feature,Point,"[-76.485366, 42.447751]",Uris Library,Arts,http://images.localist.com/photo/000/016/651/huge/isgNOUHpNR_AYDkO.jpg?1298663112,"160 Ho Plz, Ithaca, NY 14850",,
419,Feature,Point,"[-76.46580833, 42.447425]",Vet Education Center,East Campus,http://images.localist.com/photo/000/016/652/huge/AL0EtSsvCs8sMiBG.jpg?1298663117,,Veterinary Library; Flower-Sprecher Veterinary Library,
420,Feature,Point,"[-76.46436471, 42.44739161]",Vet Medical Center,East Campus,http://images.localist.com/photo/000/016/653/huge/kcW0jeVrE_11zc6j.jpg?1298663122,,,
421,Feature,Point,"[-76.466213, 42.44732]",Vet Research Tower,East Campus,http://images.localist.com/photo/000/016/654/huge/nGVnxmOoBfcW8aCP.jpg?1298663126,"618 Tower Rd, Ithaca, NY 14850",,
422,Feature,Point,"[-76.491339, 42.448949]",Von Cramm Hall,Co-ops,http://images.localist.com/images/main/business_huge.png?1340747100,"623 University Ave, Ithaca, NY 14850",Housing,
423,Feature,Point,"[-76.48793, 42.447527]",War Memorial,Areas and Features,http://images.localist.com/photo/000/016/659/huge/e5_el9o86HwBwL_c.jpg?1298663152,"336 West Ave, Ithaca, NY 14850",West Campus War Memorial[Null],
424,Feature,Point,"[-76.482994, 42.443392]",Ward Center for Nuclear Studies,Engineering,http://images.localist.com/images/main/business_huge.png?1340747100,"135 Hollister Dr, Ithaca, NY 14850",,
425,Feature,Point,"[-76.48251667, 42.45637222]",Wari Cooperative,Co-ops,http://images.localist.com/photo/000/018/819/huge/abNcgeybyVzupZHC.jpg?1308651646,,Housing,
426,Feature,Point,"[-76.477098, 42.449213]",Warren Hall,Ag,http://images.localist.com/photo/000/016/656/huge/9hImSqDkBhowPlrn.jpg?1298663137,"137 Reservoir Ave, Ithaca, NY 14850",,
427,Feature,Point,"[-76.48816716, 42.4501324]",Watermargin,Co-ops,http://images.localist.com/images/main/business_huge.png?1340747100,,,
428,Feature,Point,"[-76.4832901, 42.44654877]",Wee Stinky Glen,Areas and Features,http://images.localist.com/photo/000/016/657/huge/9Ov8gubiBB9rYzM3.jpg?1298663142,,,
429,Feature,Point,"[-73.95542748, 40.76405936]",Weill Cornell Medical College,NYC,,,Medical College Library; Samuel J. Wood Library; C. V. Starr Biomedical Information Center,
430,Feature,Point,"[51.43931944, 25.31811389]","Weill Cornell Medical College in Doha, Qatar",World,http://images.localist.com/photo/000/016/688/huge/DpZuW8isGD2iy88h.jpg?1298884635,,QuickWorld; http://www.cornell.edu/visiting/qatar/,
431,Feature,Point,"[-76.477454, 42.446874]",Weill Hall,Central Campus,http://images.localist.com/photo/000/016/658/huge/M4wAe6TQkPgE5dFj.jpg?1298663147,"237 Tower Rd, Ithaca, NY 14850",Cafe (www.campuslife.cornell.edu/campuslife/dining/synapsis-cafe.cfm),
432,Feature,Point,"[-76.48915915, 42.44758369]",West Campus,Areas and Features,http://images.localist.com/images/main/business_huge.png?1340747100,,,
433,Feature,Point,"[-76.485405, 42.450255]",White Hall,Arts,http://images.localist.com/photo/000/016/660/huge/xegjZFyAkg_yrDjH.jpg?1298663157,"123 Central Ave, Ithaca, NY 14850",,
434,Feature,Point,"[-76.485645, 42.446558]",Willard Straight Hall,Central Campus,http://images.localist.com/photo/000/016/661/huge/fAXhZz2_IuacOLlp.jpg?1298663164,"136 Ho Plz, Ithaca, NY 14850",Okenshields Dining (www.campuslife.cornell.edu/campuslife/dining/okenshields.cfm); Ivy Room Dining (www.campuslife.cornell.edu/campuslife/dining/ivy-room-dining.cfm); Cornell Cinema; Cafe (www.campuslife.cornell.edu/campuslife/dining/cascadeli.cfm); movie; movies,
435,Feature,Point,"[-76.489547, 42.446723]",William T Keeton House,West Campus,http://images.localist.com/images/main/business_huge.png?1340747100,"4 Forest Park Ln, Ithaca, NY 14850",Housing,
436,Feature,Point,"[-76.472976, 42.445011]",Wilson Synchrotron Lab & Ring,Engineering,http://images.localist.com/photo/000/017/084/huge/NRUpLjspwxZjnZtZ.jpg?1300101797,"161 Synchrotron Dr, Ithaca, NY 14850",Wilson Laboratory,
437,Feature,Point,"[-76.471568, 42.446633]",Wing Hall,East Campus,http://images.localist.com/images/main/business_huge.png?1340747100,"123 Wing Dr, Ithaca, NY 14850",,
438,Feature,Point,"[-76.47141389, 42.44910556]",Winter Garden,Plantations,http://images.localist.com/photo/000/016/662/huge/gowmW0neY8hra8CS.jpg?1298663170,,Plantations,
439,Feature,Point,"[-76.481827, 42.454121]",Zeta Psi,Greek,,"534 Thurston Ave,. Ithaca, NY 14850",Greek: IFC,
440,Feature,Point,"[-76.45610556, 42.45260833]",Zucker Shrub Collection and Harris Lilac Collection,Plantations,http://images.localist.com/images/main/business_huge.png?1340747100,,Plantations,
