,type,geometry.type,geometry.coordinates,properties.Name,properties.Category,properties.ImageURL,properties.Address,properties.Notes,properties.AKA
65,Feature,Point,"[-76.47998195, 42.45174444]",Beebe Dam Bridge,Areas and Features,http://images.localist.com/photo/000/016/519/huge/JHH5yhLaOMP2OOxT.jpg?1298662461,,,
66,Feature,Point,"[-76.474251, 42.448938]",Beebe Hall,East Campus,http://images.localist.com/images/main/business_huge.png?1340747100,"110 Plantations Rd, Ithaca, NY 14850",,
67,Feature,Point,"[-76.47722253, 42.45144121]",Beebe Lake,Areas and Features,http://images.localist.com/images/main/business_huge.png?1340747100,,,
68,Feature,Point,"[-76.47841853, 42.45233825]",Beebe Lake Green,Areas and Features,http://images.localist.com/photo/000/016/520/huge/jBZty5Yce_wBj_Gk.jpg?1298662465,,,
69,Feature,Point,"[-76.46556585, 42.43500943]",Belkin Squash Courts,East Hill,http://images.localist.com/images/main/business_huge.png?1340747100,,230 Pine Tree Road,
70,Feature,Point,"[-76.47368526, 42.44615427]",Berman Soccer Field,Athletics,,,,
71,Feature,Point,"[-76.489891, 42.455921]",Beta Theta Pi,Greek,,"100 Ridgewood Road, Ithaca, NY 14850",Greek: IFC,
72,Feature,Point,"[-76.480959, 42.448499]",Big Red Barn,Central Campus,http://images.localist.com/photo/000/016/521/huge/rkbplVV650tOhkUU.jpg?1298662472,"135 Presidents Dr, Ithaca, NY 14850",Cafe (www.campuslife.cornell.edu/campuslife/dining/big-red-barn.cfm),
73,Feature,Point,"[-76.480807, 42.44495]",Bill and Melinda Gates Hall,Engineering,,"107 Hoy Rd, Ithaca, NY 14850",,Gates Hall
74,Feature,Point,"[-76.4789193, 42.44685503]",Biology Quad,Areas and Features,http://images.localist.com/images/main/business_huge.png?1340747100,,,
75,Feature,Point,"[-76.47836222, 42.44642621]",Biotechnology Building,Central Campus,http://images.localist.com/photo/000/017/178/huge/ErApy3vE9HoKKArJ.jpg?1300376182,,,
76,Feature,Point,"[-76.46880792, 42.44299167]",Blair Farm Complex,East Hill,http://images.localist.com/images/main/business_huge.png?1340747100,,,
77,Feature,Point,"[-76.469785, 42.448652]",Blauvelt Laboratory,East Campus,http://images.localist.com/images/main/business_huge.png?1340747100,"169 Helios Cir, Ithaca, NY 14850",,
78,Feature,Point,"[-76.488725, 42.449007]",Boldt Hall,West Campus,http://images.localist.com/photo/000/016/523/huge/mp91NNc5nS8bywOG.jpg?1298662483,"727 University Ave, Ithaca, NY 14850",Housing; Language House,
79,Feature,Point,"[-76.489066, 42.448998]",Boldt Tower,West Campus,,"727 University Ave, Ithaca, NY 14850",Housing,
80,Feature,Point,"[-76.46764, 42.447035]",Boyce Thompson Institute,East Campus,http://images.localist.com/images/main/business_huge.png?1340747100,"533 Tower Rd, Ithaca, NY 14850",,
81,Feature,Point,"[-76.475775, 42.447931]",Bradfield Hall,Ag,http://images.localist.com/photo/000/016/524/huge/orlmiOxAcBrj7k2d.jpg?1298662489,"306 Tower Rd, Ithaca, NY 14850",,
82,Feature,Point,"[-76.4817, 42.45660556]",Brooklane Apartments,Co-ops,http://images.localist.com/images/main/business_huge.png?1340747100,,Housing,
83,Feature,Point,"[-76.474077, 42.448324]",Bruckner Laboratory,East Campus,http://images.localist.com/images/main/business_huge.png?1340747100,"208 Mann Dr, Ithaca, NY 14850",,
84,Feature,Point,"[-76.4612789, 42.48543611]",Business and Technology Park,Areas and Features,http://images.localist.com/images/main/business_huge.png?1340747100,,"Thornwood, Brown Rd., Brown Rd, Brown Road",
85,Feature,Point,"[-76.52156794, 42.41700556]",Buttermilk Falls State Park,Community,http://images.localist.com/photo/000/016/525/huge/1tWhS3V00rAcIofe.jpg?1298662494,,,
86,Feature,Point,"[-76.478261, 42.449222]",Caldwell Hall,Ag,http://images.localist.com/photo/000/016/527/huge/mBVxPnDFROsP_xCZ.jpg?1298662503,"121 Reservoir Ave, Ithaca, NY 14850",,
87,Feature,Point,"[-76.489555, 42.448208]",Carl Becker House,West Campus,http://images.localist.com/photo/000/016/528/huge/rpZVzdQEBzaiEgx3.jpg?1298662508,"647 Stewart Ave, Ithaca, NY 14850",Housing; Dining (www.campuslife.cornell.edu/campuslife/dining/carl-becker-house-dining.cfm),
88,Feature,Point,"[-76.484173, 42.444818]",Carpenter Hall,Engineering,http://images.localist.com/photo/000/016/529/huge/4I4All7DPfbnE8KI.jpg?1298662512,"313 Campus Rd, Ithaca, NY 14850",Engineering Library,
89,Feature,Point,"[-76.48697829, 42.44314523]",Cascadilla Creek,Areas and Features,http://images.localist.com/photo/000/016/530/huge/1EtvmCi_mmP0gqh_.jpg?1298662518,,,
90,Feature,Point,"[-76.486809, 42.442393]",Cascadilla Hall,Collegetown,http://images.localist.com/photo/000/016/531/huge/I2SGSkWPeminSSA9.jpg?1298662523,"115 Cascadilla Pl, Ithaca, NY 14850",Housing,
91,Feature,Point,"[-76.51134961, 42.45305539]",Cayuga Inlet,Community,http://images.localist.com/images/main/business_huge.png?1340747100,,,
92,Feature,Point,"[-76.53753611, 42.46915556]",Cayuga Medical Center,Community,http://images.localist.com/images/main/business_huge.png?1340747100,,Hospital,
93,Feature,Point,"[-76.554624, 42.519042]",Cayuga Nature Center,Community,,"1420 Taughannock Blvd., Ithaca, NY 14850",,
94,Feature,Point,"[-76.48787851, 42.4443886]",Center for Jewish Living,Co-ops,http://images.localist.com/images/main/business_huge.png?1340747100,,Housing,
95,Feature,Point,"[-76.474696, 42.442929]",Central Heating Plant,East Hill,,"651 Dryden Rd, Ithaca, NY 14850",,
96,Feature,Point,"[-76.49009722, 42.4537]",Chesterton House,Co-ops,,,Housing,
97,Feature,Point,"[-76.48877, 42.443691]",Chi Phi,Greek,,"107 Edgemoor Lane, Ithaca, NY 14850",Greek: IFC,
98,Feature,Point,"[-76.488129, 42.450859]",Chi Psi,Greek,,"810 University Ave., Ithaca, NY 14850",Greek: IFC,
99,Feature,Point,"[-76.47925571, 42.45133333]",Chilled Water Plant,Central Campus,http://images.localist.com/photo/000/016/533/huge/_geBN88NbhivAMuY.jpg?1298662533,,,
100,Feature,Point,"[-76.479112, 42.454242]",Clara Dickson Hall,North Campus,http://images.localist.com/photo/000/016/534/huge/drUoGTOJWPZ_1zO_.jpg?1298662538,"21 Sisson Pl, Ithaca, NY 14850",Housing,
101,Feature,Point,"[-76.481122, 42.449819]",Clark Hall,Central Campus,http://images.localist.com/photo/000/016/535/huge/_34UcJWCGcANNZ64.jpg?1298662542,"142 Sciences Dr, Ithaca, NY 14850",Physical Sciences Library; Edna McConnell Clark Library;,
102,Feature,Point,"[-76.48521343, 42.4430324]",College Avenue Stone Arch Bridge,Areas and Features,http://images.localist.com/images/main/business_huge.png?1340747100,,,
103,Feature,Point,"[-76.511169, 42.446922]",Collyer Boat House,Athletics,http://images.localist.com/images/main/business_huge.png?1340747100,"685 Third St, Ithaca, NY 14850",Rowing,
104,Feature,Point,"[-76.46464444, 42.44690278]",Companion Animal Hospital,East Campus,http://images.localist.com/images/main/business_huge.png?1340747100,,Dogs; Cats; Feline; Canine,
105,Feature,Point,"[-76.479036, 42.449285]",Computing and Communications Center,Ag,http://images.localist.com/photo/000/016/526/huge/Mqc56UNucrsbPsqi.jpg?1298662499,"235 Garden Ave, Ithaca, NY 14850","CCC, HelpDesk; Net IDs, CIT, IT",
106,Feature,Point,"[-76.47933943, 42.44658086]",Comstock Hall,Central Campus,http://images.localist.com/images/main/business_huge.png?1340747100,,Comstock Memorial Library of Entomology,
107,Feature,Point,"[-76.4644411, 42.47979793]",Convenient Care at Ithaca,Community,http://images.localist.com/images/main/business_huge.png?1340747100,,,
108,Feature,Point,"[-76.489599, 42.448831]",Cook House,West Campus,http://images.localist.com/photo/000/016/501/huge/zbRnOQYerQNZKb0c.jpg?1298662376,"709 University Ave, Ithaca, NY 14850",Housing; Dining (www.campuslife.cornell.edu/campuslife/dining/alice-cook-house-dining.cfm),
109,Feature,Point,"[-76.475892, 42.459272]",Cornell Child Care Center,North Campus,http://images.localist.com/photo/000/016/537/huge/7Fp99ggutpH_O8VL.jpg?1298662553,"150 Pleasant Grove Rd, Ithaca, NY 14850",Daycare; Bright Horizons,
110,Feature,Point,"[-73.97934036, 40.75441425]",Cornell Club of New York City,NYC,,,,
111,Feature,Point,"[-77.048489, 38.90833611]",Cornell in Washington D.C.,World,http://images.localist.com/photo/000/016/699/huge/Y1crvEHqZBIwEAEp.jpg?1298892044,,QuickWorld; http://ciw.cornell.edu/,
112,Feature,Point,"[-76.4622796, 42.44490929]",Cornell Orchards,East Campus,http://images.localist.com/images/main/business_huge.png?1340747100,,Cider; Apples,
113,Feature,Point,"[-76.472291, 42.449563]",Cornell Plantations Brian C. Nevin Welcome Center,Plantations,http://images.localist.com/photo/000/016/690/huge/wCWo7205tLxrmYuO.jpg?1298885120,"124 Comstock Knoll Dr, Ithaca, NY 14850",,
114,Feature,Point,"[-76.478252, 42.447254]",Corson Hall,Central Campus,,"215 Tower Rd, Ithaca, NY 14850",,
115,Feature,Point,"[-76.478029, 42.454471]",Court Residence Hall,North Campus,http://images.localist.com/photo/000/016/541/huge/lNqFCGmZ80zA1pPJ.jpg?1298662574,"148 Cradit Farm Dr, Ithaca, NY 14850",Housing,
116,Feature,Point,"[-70.73943889, 43.05819444]","Creek Farm Cottage, Portsmouth, New Hampshire",World,,,Shoals Marine Lab,
117,Feature,Point,"[-76.47023804, 42.44704905]",Dairy Bar,East Campus,http://images.localist.com/images/main/business_huge.png?1340747100,,Cafe (www.dairystore.cornell.edu); Ice Cream,
118,Feature,Point,"[-76.483271, 42.447017]",Day Hall,Central Campus,http://images.localist.com/photo/000/016/543/huge/7Qr6DoBeG3FLn_ic.jpg?1298662584,"144 East Ave, Ithaca, NY 14850",,
119,Feature,Point,"[-76.47728611, 42.4496]",Dean's Garden,Plantations,http://images.localist.com/photo/000/016/544/huge/u09wMqimiP301K7O.jpg?1298662590,,Plantations,
120,Feature,Point,"[-76.48479958, 42.44465]",DeFrees Lab,Engineering,http://images.localist.com/images/main/business_huge.png?1340747100,,,
121,Feature,Point,"[-76.488327, 42.453777]",Delta Chi,Greek,,"102 The Knoll, Ithaca, NY 14850",Greek: IFC,
122,Feature,Point,"[-76.481369, 42.455399]",Delta Delta Delta,Greek,,"118 Triphammer Road, Ithaca, NY 14850",Greek: Panhellenic,
123,Feature,Point,"[-76.480454, 42.455479]",Delta Gamma,Greek,,"117 Triphammer Rd., Ithaca, NY 14850",Greek: Panhellenic,
124,Feature,Point,"[-76.487122, 42.444561]",Delta Kappa Epsilon,Greek,,"13 South Ave., Ithaca, NY 14850",Greek: IFC,
125,Feature,Point,"[-76.491997, 42.44661]",Delta Phi,Greek,,"100 Cornell Ave., Ithaca, NY 14850",Greek: IFC,
126,Feature,Point,"[-76.488663, 42.445358]",Delta Tau Delta,Greek,,"104 Mary Ann Wood Dr., Ithaca, NY 14850",Greek: IFC,
127,Feature,Point,"[-76.487167, 42.445148]",Delta Upsilon,Greek,,"6 South Ave., Ithaca, NY 14850",Greek: IFC,
128,Feature,Point,"[-76.46916096, 42.44323075]",Dilmun Hill Student Organic Farm,East Hill,,,,
129,Feature,Point,"[-76.46827, 42.448489]",Dimock Environmental Control Laboratory,East Campus,http://images.localist.com/images/main/business_huge.png?1340747100,"129 Helios Cir, Ithaca, NY 14850",Dimock Lab,
130,Feature,Point,"[-76.480109, 42.447294]",Dolgen Hall,Central Campus,http://images.localist.com/photo/000/016/547/huge/FFBLKwQvCToNZZfn.jpg?1298662607,"140 Garden Ave, Ithaca, NY 14850",ILR Extension Building,
131,Feature,Point,"[-76.49690705, 42.44042742]",Downtown Ithaca,Community,http://images.localist.com/photo/000/016/692/huge/D_KUcwXlbqkAuiX8.jpg?1298887173,,,
132,Feature,Point,"[-76.482571, 42.444667]",Duffield Hall,Engineering,http://images.localist.com/photo/000/016/548/huge/ztArPfTLO_0aybrg.jpg?1298662612,"343 Campus Rd, Ithaca, NY 14850",Cafe (www.campuslife.cornell.edu/campuslife/dining/mattins-cafe.cfm),
133,Feature,Point,"[-76.445158, 42.465025]",Dyce Laboratory,Near Campus,http://images.localist.com/images/main/business_huge.png?1340747100,"201 Freese Rd, Ithaca, NY 14850",Dyce Lab for Honey Bee Research; Bees; Beekeeping; Apiary,
134,Feature,Point,"[-76.465866, 42.446819]",East Campus Research Facility,East Campus,,"626 Tower Rd, Ithaca, NY 14850",,
135,Feature,Point,"[-76.456151, 42.445328]",East Campus Service Center,East Campus,,"209 Solidago Rd, Ithaca, NY 14850",,
136,Feature,Point,"[-76.463231, 42.439152]",East Hill Office Building,East Hill,http://images.localist.com/photo/000/016/549/huge/Sra9OEY1sD2bk5lQ.jpg?1298662616,"395 Pine Tree Rd, Ithaca, NY 14850",EHOB; Pine Tree Road,
137,Feature,Point,"[-76.464159, 42.437848]",East Hill Plaza,East Hill,,"315-335 Pine Tree Rd, Ithaca, NY 14850",,
138,Feature,Point,"[-76.466471, 42.441586]",Ecology and Toxicology Fish Hatchery,East Hill,,"145 Ecology Dr, Ithaca, NY 14850",Ecotoxicology Lab,
139,Feature,Point,"[-76.48747577, 42.44239735]",Eddy Gate,Areas and Features,http://images.localist.com/photo/000/016/550/huge/t6F7QeID4mnhCpYp.jpg?1298662620,,,
140,Feature,Point,"[-76.47581, 42.448384]",Emerson Hall,Ag,http://images.localist.com/photo/000/016/850/huge/BBP8j493nOhFEqBk.jpg?1299168075,"236 Mann Dr, Ithaca, NY 14850",,
141,Feature,Point,"[-76.48362705, 42.44452444]",Engineering Quad,Areas and Features,http://images.localist.com/photo/000/016/695/huge/aA3I3QzCidJJFqtM.jpg?1298888069,,,
142,Feature,Point,"[-76.459806, 42.446437]",Environmental Health & Safety,East Campus,,"201 Palm Rd, Ithaca, NY 14850",,
143,Feature,Point,"[-76.46349311, 42.44735587]",Equine and Farm Animal Hospitals,East Campus,http://images.localist.com/images/main/business_huge.png?1340747100,,"Equine Hospital,Farm Animal Hospital",
144,Feature,Point,"[-76.466513, 42.500524]",Equine Drug Sports Medicine Facility,Near Campus,,"913 Warren Dr, Ithaca, NY 14850",,
145,Feature,Point,"[-76.467482, 42.444534]",Equine Metabolism Unit,East Campus,http://images.localist.com/images/main/business_huge.png?1340747100,"833 Campus Rd, Ithaca, NY 14850",Horses,
146,Feature,Point,"[-76.45801111, 42.46151389]",Equine Park,Near Campus,http://images.localist.com/images/main/business_huge.png?1340747100,,Horses; Blue Grass Lane,
147,Feature,Point,"[-76.456047, 42.44335]",Facilities Services Recycling Center,East Campus,,"251 Solidago Rd, Ithaca, NY 14850",,
148,Feature,Point,"[-76.47973073, 42.44278145]",Faculty Tennis Club,Athletics,http://images.localist.com/images/main/business_huge.png?1340747100,,,
149,Feature,Point,"[-76.47257131, 42.45368056]",Fall Creek,Areas and Features,http://images.localist.com/photo/000/016/691/huge/wgg35hu8WpbkoLcV.jpg?1298886050,,,
150,Feature,Point,"[-76.49757431, 42.45343335]",Fall Creek Studios,Community,,,,
151,Feature,Point,"[-76.458394, 42.44638]",Farm Service Shop,East Campus,,"126 McGowan Woods Rd, Ithaca, NY 14850",,
152,Feature,Point,"[-76.46723664, 42.44774928]",Federal Nutrition Lab,East Campus,http://images.localist.com/images/main/business_huge.png?1340747100,,,
153,Feature,Point,"[-76.475128, 42.448442]",Fernow Hall,Ag,http://images.localist.com/images/main/business_huge.png?1340747100,"226 Mann Dr, Ithaca, NY 14850",,
154,Feature,Point,"[-76.48885, 42.447773]",Flora Rose House,West Campus,http://images.localist.com/photo/000/016/554/huge/z6p_UjbwDm37JiCG.jpg?1298662642,"134 Gothics Way, Ithaca, NY 14850",Housing,
155,Feature,Point,"[-76.46930132, 42.44878056]",Floriculture Buildings,East Campus,http://images.localist.com/images/main/business_huge.png?1340747100,,,
156,Feature,Point,"[-76.470425, 42.447107]",Food Science Laboratory,East Campus,,"423 Tower Rd, Ithaca, NY 14850",,
157,Feature,Point,"[-76.487976, 42.448433]",Founders Hall,West Campus,http://images.localist.com/photo/000/016/555/huge/q_0iwY2eUm6fIMCI.jpg?1298662647,"352 West Ave, Ithaca, NY 14850",Housing,
158,Feature,Point,"[-76.483532, 42.451518]",Foundry,Arts,http://images.localist.com/photo/000/016/556/huge/w4F6SuCweGnBvT3M.jpg?1298662651,"936 University Ave, Ithaca, NY 14850",AAP,
159,Feature,Point,"[-76, 42]",Foundry Kiln Shed,Arts,,,AAP,
160,Feature,Point,"[-76.475761, 42.4455]",Friedman Strength and Conditioning Center,Athletics,,"554 Campus Rd, Ithaca, NY 14850",,
161,Feature,Point,"[-76.474537, 42.445595]",Friedman Wrestling Center,Athletics,http://images.localist.com/photo/000/016/558/huge/boNfmat1SYhD9SCi.jpg?1298662660,"610 Campus Rd, Ithaca, NY 14850",,
162,Feature,Point,"[-76.47825662, 42.44501176]",Friends Hall,Athletics,http://images.localist.com/photo/000/016/492/huge/BggR9UlrItgh24PO.jpg?1298662328,,Hall of Fame,
163,Feature,Point,"[-76.474502, 42.45277]",Fuertes Observatory,North Campus,http://images.localist.com/photo/000/016/559/huge/9mD1gihXwlNFZY5_.jpg?1298662663,"209 Cradit Farm Dr, Ithaca, NY 14850",Telescopes; telescope,
164,Feature,Point,"[-76.485558, 42.445832]",Gannett Health Services,Central Campus,http://images.localist.com/photo/000/016/560/huge/hUcSA6w4ikOBc1bz.jpg?1298662667,"110 Ho Plz, Ithaca, NY 14850",,
165,Feature,Point,"[-76.483473, 42.449063]",Goldwin Smith Hall,Arts,http://images.localist.com/photo/000/016/561/huge/XkXF4rBvfkhM8CoE.jpg?1298662672,"232 East Ave, Ithaca, NY 14850","Lewis Auditorium, HEC Auditorium, Kaufman Auditorium, Hollis E. Cornell Auditorium",
166,Feature,Point,"[-76.471216, 42.443435]",Graphic Arts Services Building,East Hill,,"490 Pine Tree Rd, Ithaca, NY 14850",,
167,Feature,Point,"[-76.45438889, 42.45211667]",Grossman Pond,Plantations,http://images.localist.com/images/main/business_huge.png?1340747100,,Plantations,
168,Feature,Point,"[-76.457298, 42.445949]",Grounds Operations Facility,East Campus,,"275 Palm Rd, Ithaca, NY 14850",,
169,Feature,Point,"[-76.482089, 42.443362]",Grumman Hall,Engineering,http://images.localist.com/images/main/business_huge.png?1340747100,"134 Rhodes Dr, Ithaca, NY 14850",,
170,Feature,Point,"[-76.479882, 42.444971]",Grumman Squash Courts,Athletics,http://images.localist.com/images/main/business_huge.png?1340747100,"505 Campus Rd, Ithaca, NY 14850",,
171,Feature,Point,"[-76.460512, 42.447477]",Guterman Bioclimatic Laboratory,East Campus,http://images.localist.com/images/main/business_huge.png?1340747100,"105 Caldwell Rd, Ithaca, NY 14850",,
172,Feature,Point,"[-76.51721254, 42.45511319]",Hanger Theatre,Community,http://images.localist.com/images/main/business_huge.png?1340747100,,,
173,Feature,Point,"[-76.488589, 42.447056]",Hans Bethe House,West Campus,http://images.localist.com/images/main/business_huge.png?1340747100,"314 West Ave, Ithaca, NY 14850",Housing; Dining (www.campuslife.cornell.edu/campuslife/dining/jansens-dining.cfm); Cafe (www.campuslife.cornell.edu/campuslife/dining/west-side-express.cfm),
174,Feature,Point,"[-76.24818966, 42.44147299]",Harford Animal Science Teaching and Research Center,State,http://images.localist.com/images/main/business_huge.png?1340747100,,Sheep; Beef; Cattle; Dairy; Cows,
175,Feature,Point,"[-76.38458014, 42.45821995]",Hartung-Boothroyd Observatory,Near Campus,http://images.localist.com/images/main/business_huge.png?1340747100,,"Telescopes; telescope; HBO; Mount Pleasant, Mt. Pleasant",
176,Feature,Point,"[-76.471926, 42.456329]",Hasbrouck Apartments,North Campus,,"121 Pleasant Grove Rd, Ithaca, NY 14850",Housing,
177,Feature,Point,"[-76.471925, 42.456324]",Hasbrouck Community Center,North Campus,,"121 Pleasant Grove Rd, Ithaca, NY 14850",Housing,
178,Feature,Point,"[-77.00741735, 42.87675714]",Hedrick Hall,State,http://images.localist.com/images/main/business_huge.png?1340747100,,,
179,Feature,Point,"[-76.477354, 42.452959]",Helen Newman Hall,North Campus,http://images.localist.com/photo/000/016/563/huge/twkjo8_Z0a1MexkX.jpg?1298662684,"163 Cradit Farm Dr, Ithaca, NY 14850",Fitness,
180,Feature,Point,"[-76.472392, 42.437378]",High Voltage Laboratory,East Hill,,"909 Mitchell St, Ithaca, NY 14850",,
181,Feature,Point,"[-76.48507195, 42.44669684]",Ho Plaza,Areas and Features,http://images.localist.com/photo/000/016/564/huge/q9xq_Cs2LAO3SCTl.jpg?1298662688,,,
182,Feature,Point,"[-76.385988, 42.461023]",Hoffman Challenge Course Pavilion,Near Campus,,"466 Mount Pleasant Rd, Ithaca, NY 14850",,
183,Feature,Point,"[-76.47605787, 42.45564416]",Holland International Living Center,North Campus,http://images.localist.com/images/main/business_huge.png?1340747100,,Housing,
184,Feature,Point,"[-76.484547, 42.443989]",Hollister Hall,Engineering,http://images.localist.com/photo/000/016/566/huge/Ru1oDWCIygVaLYA2.jpg?1298662697,"527 College Ave, Ithaca, NY 14850",,
185,Feature,Point,"[-76.46877706, 42.44871837]",Horton Lab,East Campus,http://images.localist.com/images/main/business_huge.png?1340747100,,,
186,Feature,Point,"[-76.49021667, 42.44836111]",Hot Truck,West Campus,http://images.localist.com/photo/000/016/567/huge/mZ4TgYavAyqfma_9.jpg?1298662702,,Cafe (www.shortstopdeli.com/hot-truck); Truck,
187,Feature,Point,"[-76.45460556, 42.45105556]",Houston Pond,Plantations,http://images.localist.com/photo/000/016/568/huge/_fVSm0G6_7w_eVCI.jpg?1298662706,,Plantations,
188,Feature,Point,"[-76.48060023, 42.44417186]",Hoy Field,Athletics,http://images.localist.com/photo/000/016/569/huge/5D1Ty_fd03mVT0es.jpg?1298662710,,Baseball,
189,Feature,Point,"[-76.486349, 42.443679]",Hughes Hall,Law,http://images.localist.com/images/main/business_huge.png?1340747100,"241 Campus Rd, Ithaca, NY 14850",Cafe (www.campuslife.cornell.edu/campuslife/dining/hughes.cfm),
190,Feature,Point,"[-76.478616, 42.450482]",Human Ecology Building,Central Campus,,"37 Forest Home Dr, Ithaca, NY 14850",,
191,Feature,Point,"[-76.475526, 42.442704]",Humphreys Service Building,East Campus,,"639 Dryden Rd, Ithaca, NY 14850",,
192,Feature,Point,"[-76.483945, 42.457931]",Hurlburt House,North Campus,http://images.localist.com/photo/000/018/818/huge/gTPuK5hMghv_6yMF.jpg?1308651619,"111 Country Club Rd, Ithaca, NY 14850",Ecology House; Housing,
193,Feature,Point,"[-76.46417233, 42.44781982]",I Barn,East Campus,,,,
194,Feature,Point,"[-76.48005967, 42.44695517]",ILR Conference Center,Central Campus,http://images.localist.com/photo/000/016/570/huge/MNp_i6hUPqDeh5Yx.jpg?1298662715,,,
195,Feature,Point,"[-76.45107, 42.479895]",Imogene Powers Johnson Center for Birds and Biodiversity,Near Campus,,"159 Sapsucker Woods Rd, Ithaca, NY 14850",Lab of Ornithology; Sapsucker Woods; Bird Watching; Birdwatching; Adelson Library; Johnson Center for Birds and Biodiversity,
196,Feature,Point,"[-76.480102, 42.44659]",Industrial & Labor Relations Research,Central Campus,http://images.localist.com/photo/000/016/571/huge/RTkMfTZSZ_6pBoRa.jpg?1298662718,"140 Garden Ave, Ithaca, NY 14850",ILR Research Building,
197,Feature,Point,"[-76.46988316, 42.44886111]",Insectary Complex,East Campus,,,,
198,Feature,Point,"[-76.51103444, 42.43949167]",Ithaca Bus Terminal,Community,http://images.localist.com/images/main/business_huge.png?1340747100,,710 W. State St.,
199,Feature,Point,"[-76.47998027, 42.4470117]",Ithaca Campus,State,,,QuickState; http://www.cornell.edu/visiting/ithaca/,
200,Feature,Point,"[-76.4949909, 42.42192222]",Ithaca College (IC),Community,,,,
201,Feature,Point,"[-76.49683611, 42.43960833]",Ithaca Commons,Community,http://images.localist.com/photo/000/016/572/huge/Aleuk9SxUxBSoKBx.jpg?1298662725,,Sagan Planet Walk; Food; Shopping; Bars; Restaurants; Shops,
202,Feature,Point,"[-76.50931506, 42.45101111]",Ithaca Farmers' Market,Community,http://images.localist.com/photo/000/016/573/huge/R2IphBqZuPLH8oNb.jpg?1298662729,,,
203,Feature,Point,"[-76.49866238, 42.45507391]",Ithaca High School (IHS),Community,,,,
204,Feature,Point,"[-76.49762175, 42.43701937]",Ithaca Police Department,Community,http://images.localist.com/images/main/business_huge.png?1340747100,,,
205,Feature,Point,"[-76.50446057, 42.44975833]",Ithaca Sciencenter,Community,http://images.localist.com/photo/000/016/574/huge/qke0ygsekV0xHK1V.jpg?1298662733,,,
206,Feature,Point,"[-76.481015, 42.447248]",Ives Hall,Central Campus,http://images.localist.com/photo/000/016/575/huge/sv0l_ejI_F1enXpi.jpg?1298662736,"121 Tower Rd, Ithaca, NY 14850",Martin P. Catherwood Library; Industrial and Labor Relations Library; ILR,
207,Feature,Point,"[-76.480709, 42.44694]",Ives Hall East,Central Campus,,"121 Tower Rd, Ithaca, NY 14850",,
208,Feature,Point,"[-76.481394, 42.447005]",Ives Hall West,Central Campus,,"121 Tower Rd, Ithaca, NY 14850",,
209,Feature,Point,"[-76.46430278, 42.44795278]",J Barn,East Campus,,,Ambulatory and Production Medicine Hospital for Animals,
210,Feature,Point,"[-76.47611913, 42.45511083]",JAM (Just About Music),North Campus,http://images.localist.com/photo/000/018/814/huge/vSzTPRumsa17nOzM.jpg?1308651500,,,
211,Feature,Point,"[-76.466514, 42.447853]",James Law Auditorium,East Campus,http://images.localist.com/images/main/business_huge.png?1340747100,"602 Tower Rd, Ithaca, NY 14850",Vet School,
212,Feature,Point,"[-76.478212, 42.455676]",Jameson Hall,North Campus,http://images.localist.com/images/main/business_huge.png?1340747100,"44 Sisson Pl, Ithaca, NY 14850",Housing,
213,Feature,Point,"[-76.47979149, 42.45242797]",Japes Lodge,North Campus,http://images.localist.com/photo/000/018/813/huge/CfFWidM2bQEo6S2D.jpg?1308651457,,,
214,Feature,Point,"[-76.45384167, 42.45301111]",Jennings Crabapple Collection,Plantations,http://images.localist.com/images/main/business_huge.png?1340747100,,Plantations,
215,Feature,Point,"[-76.48062778, 42.45724167]",Jessup Field,North Campus,http://images.localist.com/images/main/business_huge.png?1340747100,,Intramural Sports,
216,Feature,Point,"[-76.48607233, 42.45072827]",Johnson Museum of Art,Arts,http://images.localist.com/photo/000/016/761/huge/z6RlrYrHx1xJmgRs.jpg?1298996351,,Cafe (www.campuslife.cornell.edu/campuslife/dining/two-naked-guys-cafe.cfm),
217,Feature,Point,"[-77.00721772, 42.87744167]",Jordan Hall,State,http://images.localist.com/images/main/business_huge.png?1340747100,,Frank A. Lee Library; Geneva Experiment Station Library,
218,Feature,Point,"[-76.485426, 42.442732]",Judith Eisner Pavilion,Areas and Features,http://images.localist.com/photo/000/016/579/huge/Tj_83OZ4Nhsv7Unt.jpg?1298662753,"430 College Ave, Ithaca, NY 14850",,
219,Feature,Point,"[-76.46439746, 42.44808229]",K Barn,East Campus,,,,
220,Feature,Point,"[-76.49131667, 42.44799167]",Kahin Center,Co-ops,http://images.localist.com/images/main/business_huge.png?1340747100,,Housing,
221,Feature,Point,"[-76.4726603, 42.44672731]",Kane Sports Complex,Athletics,http://images.localist.com/photo/000/016/580/huge/AnwXyaCOWtZDNKQJ.jpg?1298662758,,Track and Field,
222,Feature,Point,"[-76.488953, 42.444569]",Kappa Alpha Theta,Greek,,"519 Stewart Ave., Ithaca, NY 14850",Greek: Panhellenic,
223,Feature,Point,"[-76.480469, 42.454868]",Kappa Delta,Greek,,"109 Triphammer Rd., Ithaca, NY 14850",Greek: Panhellenic,
224,Feature,Point,"[-76.486992, 42.45789]",Kappa Delta Rho,Greek,,"312 Highland Road, Ithaca, NY 14850",Greek: IFC,
